#;Album ID;Album Content;Album Content (ru);Album hardcoded link;Keywords
0;A000-00-00-00;Virtual album;Виртуальный альбом;https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A000-00-00-00.html;Юбилейные,2 евро,Монако,Monaco,дубли,монеты мира
1;A001-01-GD-BK;2 Euro (part 1);Юбилейные 2 евро (часть 1);https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A001-01-GD-BK.html;Юбилейные,2 евро,Австрия,Бельгия,Кипр,Эстония,Франция,Италия,Латвия,Ирландия,Литва,Нидерланды,Португалия,Austria,Belgium,Cyprus,Estonia,France,Italy,Latvia,Ireland,Lithuania,Netherlands,Portugal
2;A001-02-GD-BK;2 Euro (part 2);Юбилейные 2 евро (часть 2);https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A001-02-GD-BK.html;
3;A001-03-GD-BK;2 Euro (part 3);Юбилейные 2 евро (часть 3);https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A001-03-GD-BK.html;
4;A001-04-GD-BK;2 Euro (part 4);Юбилейные 2 евро (часть 4);https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A001-04-GD-BK.html;
5;A001-05-GD-BK;2 Euro (part 5);Юбилейные 2 евро (часть 5);https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A001-05-GD-BK.html;
6;A001-06-GD-BK;2 Euro (part 6);Юбилейные 2 евро (часть 6);https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A001-06-GD-BK.html;
7;A002-01-OA-BK;Commemorative USA coins (Mints P and S);Юбилейные монеты США (Дворы P и S);https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A002-01-OA-BK.html;
8;A002-02-OA-BK;Commemorative USA coins (Mint D);Юбилейные монеты США (Двор D);https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A002-02-OA-BK.html;
9;A003-01-OA-DB;Commemorative Russian Federasion coins (part 1);Юбилейные монеты РФ (часть 1);https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A003-01-OA-DB.html;
10;A003-02-OA-DB;Commemorative Russian Federasion coins (part 2);Юбилейные монеты РФ (часть 2);https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A003-02-OA-DB.html;
11;A004-01-OA-BK;Regular euro coins (part 1);Регулярные монеты евро (часть 1);https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A004-01-OA-BK.html;
12;A004-02-OA-BK;Regular euro coins (part 2);Регулярные монеты евро (часть 2);https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A004-02-OA-BK.html;
13;A005-01-OA-BK;Regular USA coins (Mints P and S);Регулярные монеты США (Дворы P и S);https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A005-01-OA-BK.html;
14;A005-02-OA-BK;Regular USA coins (Mint D);Регулярные монеты США (Двор D);https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A005-02-OA-BK.html;
15;A006-01-OA-BU;Regular Russian Federasion coins;Регулярные монеты РФ ;https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A006-01-OA-BU.html;
16;A007-01-OA-BK;USSR commemorative and regular coins;Советские юбилейные и регулярные монеты;https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A007-01-OA-BK.html;
17;A008-01-OA-BK;Spain and Canada regular and commemorative coins;Регулярные и юбилейныеонеты Испании и Канады;https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A008-01-OA-BK.html;
18;A009-01-FB-LN;Kazachstan, Indian, Russian Empire coins;Монеты Казахстана, Индии, Российской империи;https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A009-01-FB-LN.html;
19;A009-02-FB-LN;Great Britain, Ukrainian and German coins;Монеты Великобритании, Украины и Германии;https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A009-02-FB-LN.html;
20;A009-03-FB-BN;World coins (Europe, America, Africa, Australia and Oceania);Монеты мира (Европа, Америка, Африка, Австралия и Океания);https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A009-03-FB-BN.html;
21;A009-04-FB-DN;World coins (Asia);Монеты мира (Азия);https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A009-04-FB-DN.html;
22;A010-01-OA-DB;World banknotes;Банкноты мира;https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A010-01-OA-DB.html;
23;A011-01-OA-GR;Tickets (part 1) to the theater, museums, concerts and performances;Билеты (часть 1) в театры, музеи, на концерты и спектакли;https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A011-01-OA-GR.html;
24;A011-02-OA-GR;Tickets (part 2) for parks, cinemas, special events, trains, and planes. Various tokens;Билеты (часть 2) в паркии, кино, на особые события, на поезда, на самолёты. Различные жетоны;https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A011-02-OA-GR.html;
25;A012-01-OA-BU;Tickets for metro, tram passes. Metro tokens;Билеты на метро, проездные трамвайные билеты. Жетоны метро;https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A012-01-OA-BU.html;
26;A013-01-OA-LN;Plastic cards;Пластиковые карты;https://dartalexator.github.io/CoinCollection/Info/Hardcoded_album_links/A013-01-OA-LN.html;
